company_id,name,normalized_name,industry,inn,primary_site,primary_email,data_quality_score,has_support_team,support_team_size,support_channels_count,has_24_7_support,support_vacancies,total_vacancies,data_sources,description,emails,last_updated,metadata,sites,source,sources,support_info
C0029,Ингосстрах,ИНГОССТРАХ,insurance,7714017986,https://qr.nspk.ru/BS1A003B1PBA4MS09TGQ0R80T3CIKHI6?type=01&bank=100000000135&crc=2EE7,www@ingos.ru,100,True,10,5,True,3,3,"enriched, jobs_detailed, jobs_simple",Отрасль: insurance | Размер команды поддержки: 10 | Каналы поддержки: 5,['www@ingos.ru'],2025-12-23T17:34:28.091739,"{'parsing_success': True, 'parsing_method': 'selenium', 'data_source': 'company_site_improved', 'page_title': 'Страховая компания Ингосстрах — Страхование онлайн', 'analysis_success': True}","['https://qr.nspk.ru/BS1A003B1PBA4MS09TGQ0R80T3CIKHI6?type=01&bank=100000000135&crc=2EE7', 'https://www.ingos.ru/faq', 'https://www.ingos.ru/', 'https://www.ingos.ru', 'https://hh.ru/employer/4309']",seed,"['enriched', 'jobs_detailed', 'jobs_simple']","{'team_size': 10, 'channels': {'email': True, 'contact_form': False, 'online_chat': True, 'messengers': False, 'support_section': True, 'kb_faq': True, '24_7': True}, 'evidence': 'Поддержка 24/7 (сменный график требует минимум 10 человек)', 'evidence_url': 'https://www.ingos.ru/', 'chat_vendor': 'unknown', 'support_vacancies': 3, 'vacancy_details': ""[{'name': 'Специалист письменной поддержки', 'url': 'https://hh.ru/vacancy/128855146', 'schedule': 'Полный день', 'estimated_size': 1}, {'name': 'Исследователь', 'url': 'https://hh.ru/vacancy/128971662', 'schedule': 'Полный день', 'estimated_size': 1}, {'name': 'Менеджер по продаже страховых продуктов', 'url': 'https://hh.ru/vacancy/122968627', 'schedule': 'Полный день', 'estimated_size': 3}]"", 'total_vacancies': 3}"
C0031,СОГАЗ,СОГАЗ,insurance,7707049388,https://www.sogaz.ru,HR_SOGAZ@sogaz.ru,100,True,10,5,True,6,6,"enriched, jobs_detailed, jobs_simple",Отрасль: insurance | Размер команды поддержки: 10 | Каналы поддержки: 5,['HR_SOGAZ@sogaz.ru'],2025-12-23T17:34:28.091739,"{'parsing_success': True, 'parsing_method': 'requests', 'data_source': 'company_site_improved', 'page_title': 'Страховая компания СОГАЗ — Надежная защита для жизни и бизнеса', 'analysis_success': True}","['https://www.sogaz.ru', 'https://hh.ru/employer/596610', 'https://www.sogaz.ru/', 'https://www.sogaz.ru/sogaz/about/filials/', 'https://www.sogaz.ru/info/spravka_dms_for_social_nalog_deduct/']",seed,"['enriched', 'jobs_detailed', 'jobs_simple']","{'team_size': 10, 'channels': {'email': True, 'contact_form': False, 'online_chat': True, 'messengers': False, 'support_section': True, 'kb_faq': True, '24_7': True}, 'evidence': 'Поддержка 24/7 (сменный график требует минимум 10 человек)', 'evidence_url': 'https://www.sogaz.ru/', 'chat_vendor': 'unknown', 'support_vacancies': 6, 'vacancy_details': ""[{'name': 'Старший бухгалтер Группы учета и расчетов с участниками системы ОМС', 'url': 'https://hh.ru/vacancy/128474826', 'schedule': 'Полный день', 'estimated_size': 1}, {'name': 'Оператор контакт-центра (офис)', 'url': 'https://hh.ru/vacancy/86512946', 'schedule': 'Полный день', 'estimated_size': 1}, {'name': 'Специалист Группы организации обязательного медицинского страхования', 'url': 'https://hh.ru/vacancy/128383149', 'schedule': 'Полный день', 'estimated_size': 1}, {'name': 'Руководитель направления Группы информационных технологий', 'url': 'https://hh.ru/vacancy/128327409', 'schedule': 'Полный день', 'estimated_size': 3}, {'name': 'Оператор контакт-центра (ведущий специалист)', 'url': 'https://hh.ru/vacancy/127995611', 'schedule': 'Полный день', 'estimated_size': 1}]"", 'total_vacancies': 6}"
C0041,ПЭК,ПЭК,logistics,НЕ_НАЙДЕН,https://pecom.ru/,pecom@pecom.ru,100,True,45,4,False,15,15,"enriched, jobs_detailed, jobs_simple",Отрасль: logistics | Размер команды поддержки: 45 | Каналы поддержки: 4,['pecom@pecom.ru'],2025-12-23T17:34:28.093746,"{'parsing_success': True, 'parsing_method': 'requests', 'data_source': 'company_site_improved', 'page_title': 'Грузоперевозки: доставка грузов по России, автоперевозки, экспресс-перевозка сборных грузов | транспортная компания ПЭК', 'analysis_success': True}","['https://pecom.ru/', 'https://pecom.ru/info/', 'https://pecom.ru/mezhdunarodnye-perevozki/', 'https://hh.ru/employer/3838', 'https://www.pecom.ru']",seed,"['enriched', 'jobs_detailed', 'jobs_simple']","{'team_size': 45, 'channels': {'email': True, 'contact_form': False, 'online_chat': True, 'messengers': False, 'support_section': True, 'kb_faq': True, '24_7': False}, 'evidence': 'site', 'evidence_url': 'https://pecom.ru/', 'chat_vendor': 'unknown', 'support_vacancies': 15, 'vacancy_details': ""[{'name': 'Менеджер по ведению клиентов', 'url': 'https://hh.ru/vacancy/128791203', 'schedule': 'Полный день', 'estimated_size': 3}, {'name': 'Специалист поддержки 1С', 'url': 'https://hh.ru/vacancy/128839418', 'schedule': 'Удаленная работа', 'estimated_size': 1}, {'name': 'Менеджер по ведению клиентов', 'url': 'https://hh.ru/vacancy/128748405', 'schedule': 'Полный день', 'estimated_size': 3}, {'name': 'Менеджер по продажам (международные продажи)', 'url': 'https://hh.ru/vacancy/128429919', 'schedule': 'Полный день', 'estimated_size': 3}, {'name': 'Инженер технической поддержки', 'url': 'https://hh.ru/vacancy/128182683', 'schedule': 'Полный день', 'estimated_size': 1}]"", 'total_vacancies': 15}"
C0043,Boxberry,BOXBERRY,logistics,НЕ_НАЙДЕН,https://dostavka.yandex.ru/boxberry-site/,help@dostavka.yandex.ru,100,True,10,4,True,0,0,"enriched, jobs_detailed",Отрасль: logistics | Размер команды поддержки: 10 | Каналы поддержки: 4,['help@dostavka.yandex.ru'],2025-12-23T17:34:28.084738,"{'parsing_success': True, 'parsing_method': 'selenium', 'data_source': 'company_site_improved', 'page_title': 'Боксберри теперь часть Яндекс Доставки', 'analysis_success': False}","['https://dostavka.yandex.ru/boxberry-site/', 'https://boxberry.ru']",seed,"['enriched', 'jobs_detailed']","{'team_size': 10, 'channels': {'email': True, 'contact_form': False, 'online_chat': True, 'messengers': False, 'support_section': True, 'kb_faq': False, '24_7': True}, 'evidence': 'Поддержка 24/7 (сменный график требует минимум 10 человек)', 'evidence_url': 'https://dostavka.yandex.ru/boxberry-site/', 'chat_vendor': 'unknown', 'support_vacancies': 0, 'vacancy_details': '[]'}"
C0047,Сургутнефтегаз,СУРГУТНЕФТЕГАЗ,energy,НЕ_НАЙДЕН,https://www.surgutneftegas.ru/,office@surgutneftegas.ru,96,True,1,2,False,1,1,"enriched, jobs_detailed, jobs_simple",Отрасль: energy | Размер команды поддержки: 1 | Каналы поддержки: 2,['office@surgutneftegas.ru'],2025-12-23T17:34:28.094742,"{'parsing_success': True, 'parsing_method': 'selenium', 'data_source': 'company_site_improved', 'page_title': 'ПАО «Сургутнефтегаз» - поиск, разведка и добыча углеводородного сырья', 'analysis_success': True}","['https://www.surgutneftegas.ru/', 'https://hh.ru/employer/2238683', 'https://www.surgutneftegas.ru/contacts/', 'https://www.surgutneftegas.ru']",seed,"['enriched', 'jobs_detailed', 'jobs_simple']","{'team_size': 1, 'channels': {'email': True, 'contact_form': False, 'online_chat': False, 'messengers': False, 'support_section': True, 'kb_faq': False, '24_7': False}, 'evidence': 'site', 'evidence_url': 'https://www.surgutneftegas.ru/', 'support_vacancies': 1, 'vacancy_details': ""[{'name': 'Специалист в контакт-центр', 'url': 'https://hh.ru/vacancy/128676064', 'schedule': 'Удаленная работа', 'estimated_size': 1}]"", 'total_vacancies': 1}"
C0005,Газпромбанк,ГАЗПРОМБАНК,bank,7744001497,https://www.gazprombank.ru/personal/page/faq-deposit/#faq,,85,True,14,4,False,7,7,"enriched, jobs_detailed, jobs_simple",Отрасль: bank | Размер команды поддержки: 14 | Каналы поддержки: 4,[],2025-12-23T17:34:28.088742,"{'parsing_success': True, 'parsing_method': 'selenium', 'data_source': 'company_site_improved', 'page_title': 'Газпромбанк — кредиты наличными, вклады, кредитные и дебетовые карты, банковские услуги физическим и юридическим лицам', 'analysis_success': True}","['https://www.gazprombank.ru/personal/page/faq-deposit/#faq', 'https://www.gazprombank.ru', 'https://www.gazprombank.ru/personal/page/restructuring/', 'https://www.gazprombank.ru/', 'https://hh.ru/employer/3388']",seed,"['enriched', 'jobs_detailed', 'jobs_simple']","{'team_size': 14, 'channels': {'email': False, 'contact_form': True, 'online_chat': True, 'messengers': False, 'support_section': True, 'kb_faq': True, '24_7': False}, 'evidence': 'site', 'evidence_url': 'https://www.gazprombank.ru/', 'chat_vendor': 'unknown', 'support_vacancies': 7, 'vacancy_details': ""[{'name': 'Руководитель проекта (развитие бренда работодателя)', 'url': 'https://hh.ru/vacancy/128956540', 'schedule': 'Полный день', 'estimated_size': 3}, {'name': 'Руководитель направления ВЭД', 'url': 'https://hh.ru/vacancy/128946020', 'schedule': 'Полный день', 'estimated_size': 3}, {'name': 'HR-стажер', 'url': 'https://hh.ru/vacancy/128655736', 'schedule': 'Полный день', 'estimated_size': 1}, {'name': 'Senior frontend-разработчик', 'url': 'https://hh.ru/vacancy/128130161', 'schedule': 'Удаленная работа', 'estimated_size': 1}, {'name': 'Секретарь департамента', 'url': 'https://hh.ru/vacancy/127988243', 'schedule': 'Полный день', 'estimated_size': 1}]"", 'total_vacancies': 7}"
C0016,Эльдорадо,ЭЛЬДОРАДО,retail,НЕ_НАЙДЕН,https://hh.ru/employer/2523,,85,True,43,4,True,23,23,"enriched, jobs_detailed, jobs_simple",Отрасль: retail | Размер команды поддержки: 43 | Каналы поддержки: 4,[],2025-12-23T17:34:28.089739,"{'parsing_success': True, 'parsing_method': 'selenium', 'data_source': 'company_site_improved', 'page_title': 'Эльдорадо - интернет-магазин электроники, цифровой и бытовой техники, выгодные цены, доставка по Москве и регионам', 'analysis_success': True}","['https://hh.ru/employer/2523', 'https://www.eldorado.ru/', 'https://www.eldorado.ru/help/', 'https://www.eldorado.ru']",seed,"['enriched', 'jobs_detailed', 'jobs_simple']","{'team_size': 43, 'channels': {'email': False, 'contact_form': True, 'online_chat': True, 'messengers': False, 'support_section': True, 'kb_faq': False, '24_7': True}, 'evidence': 'Поддержка 24/7 (сменный график требует минимум 10 человек)', 'evidence_url': 'https://www.eldorado.ru/', 'chat_vendor': 'unknown', 'support_vacancies': 23, 'vacancy_details': ""[{'name': 'Product Manager', 'url': 'https://hh.ru/vacancy/128920696', 'schedule': 'Полный день', 'estimated_size': 1}, {'name': 'Оператор ПК', 'url': 'https://hh.ru/vacancy/128963488', 'schedule': 'Сменный график', 'estimated_size': 4}, {'name': 'Оператор ПК', 'url': 'https://hh.ru/vacancy/128861026', 'schedule': 'Полный день', 'estimated_size': 1}, {'name': 'Ведущий системный администратор Linux', 'url': 'https://hh.ru/vacancy/128956513', 'schedule': 'Удаленная работа', 'estimated_size': 1}, {'name': 'Android-разработчик', 'url': 'https://hh.ru/vacancy/128831781', 'schedule': 'Удаленная работа', 'estimated_size': 1}]"", 'total_vacancies': 23}"
C0019,Магнит,МАГНИТ,retail,НЕ_НАЙДЕН,https://magnit.ru/faq,,85,True,10,4,True,0,0,"enriched, jobs_detailed, jobs_simple",Отрасль: retail | Размер команды поддержки: 10 | Каналы поддержки: 4,[],2025-12-23T17:34:28.090739,"{'parsing_success': True, 'parsing_method': 'selenium', 'data_source': 'company_site_improved', 'page_title': 'Сеть магазинов Магнит — акции, скидки и полный каталог', 'analysis_success': True}","['https://magnit.ru/faq', 'https://magnit.ru/', 'https://hh.ru/employer/5494263', 'https://magnit.ru']",seed,"['enriched', 'jobs_detailed', 'jobs_simple']","{'team_size': 10, 'channels': {'email': False, 'contact_form': False, 'online_chat': True, 'messengers': False, 'support_section': True, 'kb_faq': True, '24_7': True}, 'evidence': 'Поддержка 24/7 (сменный график требует минимум 10 человек)', 'evidence_url': 'https://magnit.ru/', 'chat_vendor': 'unknown', 'support_vacancies': 0, 'vacancy_details': '[]', 'total_vacancies': 0}"
C0037,Уральские авиалинии,УРАЛЬСКИЕ АВИАЛИНИИ,airline,НЕ_НАЙДЕН,https://www.uralairlines.ru/faq_main/,,85,True,12,4,False,2,2,"enriched, jobs_detailed, jobs_simple",Отрасль: airline | Размер команды поддержки: 12 | Каналы поддержки: 4,[],2025-12-23T17:34:28.093746,"{'parsing_success': True, 'parsing_method': 'selenium', 'data_source': 'company_site_improved', 'page_title': 'Авиабилеты авиакомпании Уральские авиалинии | Купить билет на самолет онлайн', 'analysis_success': True}","['https://www.uralairlines.ru/faq_main/', 'https://www.uralairlines.ru/', 'https://www.uralairlines.ru', 'https://hh.ru/employer/36860', 'https://www.uralairlines.ru/feedback_main/']",seed,"['enriched', 'jobs_detailed', 'jobs_simple']","{'team_size': 12, 'channels': {'email': False, 'contact_form': True, 'online_chat': True, 'messengers': False, 'support_section': True, 'kb_faq': True, '24_7': False}, 'evidence': 'site', 'evidence_url': 'https://www.uralairlines.ru/', 'chat_vendor': 'unknown', 'support_vacancies': 2, 'vacancy_details': ""[{'name': 'Оператор контакт-центра', 'url': 'https://hh.ru/vacancy/128461766', 'schedule': 'Сменный график', 'estimated_size': 4}, {'name': 'Грузчик-экспедитор уборочного и бытового оборудования', 'url': 'https://hh.ru/vacancy/128005149', 'schedule': 'Сменный график', 'estimated_size': 4}]"", 'total_vacancies': 2}"
C0002,Тинькофф Банк,ТИНЬКОФФ БАНК,bank,7710140679,https://www.cdn-tinkoff.ru/frontend-libraries/nojswarning/index.html,,84,True,29,3,True,16,16,"enriched, jobs_detailed, jobs_simple",Отрасль: bank | Размер команды поддержки: 29 | Каналы поддержки: 3,[],2025-12-23T17:34:28.087741,"{'parsing_success': True, 'parsing_method': 'selenium', 'data_source': 'company_site_improved', 'page_title': 'Т-Банк — Кредитные и дебетовые карты, кредиты для бизнеса и физических лиц | Тинькофф', 'analysis_success': True}","['https://www.cdn-tinkoff.ru/frontend-libraries/nojswarning/index.html', 'https://www.tinkoff.ru', 'https://www.tbank.ru/', 'https://hh.ru/employer/78638']",seed,"['enriched', 'jobs_detailed', 'jobs_simple']","{'team_size': 29, 'channels': {'email': False, 'contact_form': False, 'online_chat': True, 'messengers': False, 'support_section': True, 'kb_faq': False, '24_7': True}, 'evidence': 'Поддержка 24/7 (сменный график требует минимум 10 человек)', 'evidence_url': 'https://www.tbank.ru/', 'chat_vendor': 'unknown', 'support_vacancies': 16, 'vacancy_details': ""[{'name': 'Оператор по работе с документами', 'url': 'https://hh.ru/vacancy/126925669', 'schedule': 'Полный день', 'estimated_size': 1}, {'name': 'Product marketing manager', 'url': 'https://hh.ru/vacancy/128182628', 'schedule': 'Полный день', 'estimated_size': 1}, {'name': 'Заместитель руководителя группы офисных услуг', 'url': 'https://hh.ru/vacancy/128540017', 'schedule': 'Полный день', 'estimated_size': 1}, {'name': 'Менеджер по работе с физическими лицами', 'url': 'https://hh.ru/vacancy/127623859', 'schedule': 'Удаленная работа', 'estimated_size': 3}, {'name': 'Стратегический аналитик', 'url': 'https://hh.ru/vacancy/128919663', 'schedule': 'Полный день', 'estimated_size': 1}]"", 'total_vacancies': 16}"
